timestamp,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2026-01-31 04:00:00,4916.6,4926.0,4909.2,4923.2,677717.0,677.717,3334141.9784,1
2026-01-31 04:05:00,4923.3,4924.9,4916.4,4916.4,205307.0,205.307,1010226.2217,1
2026-01-31 04:10:00,4916.5,4920.9,4916.5,4919.2,158571.0,158.571,779999.9245,1
2026-01-31 04:15:00,4919.2,4920.0,4910.0,4911.4,171152.0,171.152,841352.0601,1
2026-01-31 04:20:00,4911.4,4913.5,4908.7,4912.3,78343.0,78.343,384675.8036,1
2026-01-31 04:25:00,4912.3,4912.4,4908.7,4911.8,103053.0,103.053,506040.3344,1
2026-01-31 04:30:00,4911.8,4915.0,4911.2,4912.3,49431.0,49.431,242860.084,1
2026-01-31 04:35:00,4912.3,4915.0,4909.2,4909.2,87796.0,87.796,431282.8375,1
2026-01-31 04:40:00,4909.2,4913.0,4909.1,4910.4,63558.0,63.558,312131.3489,1
2026-01-31 04:45:00,4910.4,4913.0,4909.6,4909.6,41574.0,41.574,204176.7061,1
2026-01-31 04:50:00,4909.6,4913.5,4909.1,4910.1,53497.0,53.497,262714.3328,1
2026-01-31 04:55:00,4910.0,4915.4,4910.0,4914.1,92065.0,92.065,452253.6774,1
2026-01-31 05:00:00,4914.1,4917.9,4914.0,4917.8,63288.0,63.288,311106.2174,1
2026-01-31 05:05:00,4917.9,4919.5,4916.7,4919.5,61718.0,61.718,303530.3389,1
2026-01-31 05:10:00,4919.5,4920.5,4918.0,4920.4,105970.0,105.97,521296.4446,1
2026-01-31 05:15:00,4920.5,4925.0,4920.4,4924.6,128907.0,128.907,634612.8974,1
2026-01-31 05:20:00,4924.6,4924.6,4915.0,4915.3,230363.0,230.363,1133006.2868,1
2026-01-31 05:25:00,4915.3,4919.0,4911.0,4919.0,145078.0,145.078,712887.2166,1
2026-01-31 05:30:00,4919.0,4924.3,4918.6,4919.0,155528.0,155.528,765357.7931,1
2026-01-31 05:35:00,4919.0,4922.4,4918.0,4919.7,109038.0,109.038,536433.9849,1
2026-01-31 05:40:00,4919.6,4919.7,4916.5,4917.6,140039.0,140.039,688706.9901,1
2026-01-31 05:45:00,4917.6,4919.4,4916.0,4917.2,69528.0,69.528,341892.8066,1
2026-01-31 05:50:00,4917.0,4930.0,4917.0,4926.8,458792.0,458.792,2259931.0022,1
2026-01-31 05:55:00,4926.8,4927.0,4924.6,4924.6,118403.0,118.403,583220.1097,1
2026-01-31 06:00:00,4924.7,4927.0,4924.0,4926.4,128061.0,128.061,630758.2815,1
2026-01-31 06:05:00,4926.3,4926.4,4922.7,4924.1,115871.0,115.871,570508.8306,1
2026-01-31 06:10:00,4924.1,4925.4,4921.0,4923.4,154227.0,154.227,759272.6439,1
2026-01-31 06:15:00,4923.3,4924.2,4922.1,4922.2,70766.0,70.766,348393.3553,1
2026-01-31 06:20:00,4922.2,4922.8,4920.8,4920.9,27939.0,27.939,137508.4809,1
2026-01-31 06:25:00,4920.8,4921.0,4919.1,4919.4,155233.0,155.233,763763.4806,1
2026-01-31 06:30:00,4919.4,4923.6,4919.4,4922.6,55409.0,55.409,272693.2031,1
2026-01-31 06:35:00,4922.5,4925.0,4921.4,4921.8,117556.0,117.556,578768.4236,1
2026-01-31 06:40:00,4921.7,4922.6,4917.3,4918.6,153360.0,153.36,754440.684,1
2026-01-31 06:45:00,4918.5,4920.7,4917.9,4920.6,61454.0,61.454,302288.8232,1
2026-01-31 06:50:00,4920.5,4924.8,4920.4,4924.8,104976.0,104.976,516751.4675,1
2026-01-31 06:55:00,4924.8,4925.7,4923.0,4923.9,68893.0,68.893,339255.3286,1
2026-01-31 07:00:00,4923.8,4925.2,4923.0,4925.2,44086.0,44.086,217083.4472,1
2026-01-31 07:05:00,4925.2,4927.0,4925.1,4925.5,88940.0,88.94,438116.5367,1
2026-01-31 07:10:00,4925.5,4925.7,4923.0,4925.5,126154.0,126.154,621201.7466,1
2026-01-31 07:15:00,4925.6,4926.6,4925.5,4926.0,67796.0,67.796,333972.9528,1
2026-01-31 07:20:00,4925.9,4927.0,4924.9,4925.3,69865.0,69.865,344143.4128,1
2026-01-31 07:25:00,4925.3,4927.9,4925.3,4927.8,106222.0,106.222,523318.5393,1
2026-01-31 07:30:00,4927.8,4928.8,4926.9,4928.0,162173.0,162.173,799171.9751,1
2026-01-31 07:35:00,4927.9,4928.7,4925.5,4927.8,112880.0,112.88,556184.3186,1
2026-01-31 07:40:00,4927.7,4930.0,4927.2,4929.4,139335.0,139.335,686769.5709,1
2026-01-31 07:45:00,4929.4,4935.0,4928.6,4934.7,169691.0,169.691,836790.9742,1
2026-01-31 07:50:00,4934.6,4934.6,4930.4,4930.5,100442.0,100.442,495422.6296,1
2026-01-31 07:55:00,4930.5,4932.7,4929.1,4929.2,313019.0,313.019,1543543.1526,1
2026-01-31 08:00:00,4929.1,4930.1,4927.3,4928.4,256031.0,256.031,1261874.8001,1
2026-01-31 08:05:00,4928.4,4928.5,4923.3,4923.3,186834.0,186.834,920321.5663,1
2026-01-31 08:10:00,4923.3,4928.9,4921.6,4928.9,340413.0,340.413,1676651.0984,1
2026-01-31 08:15:00,4928.9,4929.8,4921.0,4927.3,677714.0,677.714,3338341.3247,1
2026-01-31 08:20:00,4927.3,4933.3,4925.5,4933.2,326789.0,326.789,1610661.6217,1
2026-01-31 08:25:00,4933.3,4936.0,4925.8,4927.2,633984.0,633.984,3126180.1203,1
2026-01-31 08:30:00,4927.3,4928.7,4926.4,4926.4,383466.0,383.466,1889615.9279,1
2026-01-31 08:35:00,4926.4,4926.5,4921.1,4921.7,976708.0,976.708,4809253.5083,1
2026-01-31 08:40:00,4921.6,4923.9,4918.7,4923.4,733520.0,733.52,3610189.5824,1
2026-01-31 08:45:00,4923.5,4924.9,4922.2,4923.5,575365.0,575.365,2832935.7009,1
2026-01-31 08:50:00,4923.6,4923.9,4922.5,4923.4,405692.0,405.692,1997310.9613,1
2026-01-31 08:55:00,4923.3,4925.3,4922.6,4925.3,390887.0,390.887,1924801.942,1
2026-01-31 09:00:00,4925.2,4927.5,4923.4,4923.4,351787.0,351.787,1732866.8734,1
2026-01-31 09:05:00,4923.3,4923.3,4919.4,4920.1,652625.0,652.625,3211177.6317,1
2026-01-31 09:10:00,4920.0,4920.3,4918.7,4918.8,475366.0,475.366,2338561.1208,1
2026-01-31 09:15:00,4918.9,4919.2,4918.3,4918.4,289293.0,289.293,1422958.1243,1
2026-01-31 09:20:00,4918.5,4918.6,4916.5,4916.6,168268.0,168.268,827545.4274,1
2026-01-31 09:25:00,4916.5,4916.8,4915.2,4915.3,128180.0,128.18,630158.226,1
2026-01-31 09:30:00,4915.3,4915.3,4907.3,4907.4,586698.0,586.698,2882164.392,1
2026-01-31 09:35:00,4907.4,4907.4,4900.3,4903.4,383416.0,383.416,1879971.8164,1
2026-01-31 09:40:00,4903.5,4909.0,4903.4,4905.5,194108.0,194.108,952439.2382,1
2026-01-31 09:45:00,4905.5,4906.1,4904.4,4906.0,113979.0,113.979,559119.5628,1
2026-01-31 09:50:00,4906.0,4906.0,4902.9,4905.0,168174.0,168.174,824842.7673,1
2026-01-31 09:55:00,4905.1,4906.5,4904.8,4905.2,107155.0,107.155,525664.7447,1
2026-01-31 10:00:00,4905.2,4905.2,4904.1,4904.2,81187.0,81.187,398217.4307,1
2026-01-31 10:05:00,4904.1,4904.1,4903.0,4903.0,90698.0,90.698,444751.4696,1
2026-01-31 10:10:00,4902.9,4902.9,4899.5,4899.5,211937.0,211.937,1038626.6048,1
2026-01-31 10:15:00,4899.4,4899.5,4896.7,4899.0,303303.0,303.303,1485696.5049,1
2026-01-31 10:20:00,4898.9,4903.7,4898.9,4903.4,114432.0,114.432,560887.4908,1
2026-01-31 10:25:00,4903.3,4907.9,4903.3,4907.9,67784.0,67.784,332447.2896,1
2026-01-31 10:30:00,4907.9,4914.2,4907.9,4910.3,214327.0,214.327,1052792.02,1
