,code,open,close,date,exchange_code
0,10000139.XSHG,0.3021,0.3234,2015-06-30,XSHG
1,10000201.XSHG,0.3291,0.387,2015-06-30,XSHG
2,10000200.XSHG,0.9634,0.8773,2015-06-30,XSHG
3,10000203.XSHG,0.35,0.431,2015-06-30,XSHG
4,10000202.XSHG,0.4718,0.385,2015-06-30,XSHG
5,10000205.XSHG,0.3424,0.401,2015-06-30,XSHG
6,10000204.XSHG,0.4267,0.3421,2015-06-30,XSHG
7,10000207.XSHG,0.0952,0.1149,2015-06-30,XSHG
8,10000206.XSHG,0.4339,0.3073,2015-06-30,XSHG
9,10000209.XSHG,0.0644,0.0709,2015-06-30,XSHG
10,10000208.XSHG,0.083,0.093,2015-06-30,XSHG
11,10000165.XSHG,0.1928,0.2283,2015-06-30,XSHG
12,10000166.XSHG,0.5724,0.5443,2015-06-30,XSHG
13,10000197.XSHG,0.1598,0.18,2015-06-30,XSHG
14,10000191.XSHG,0.7457,0.6828,2015-06-30,XSHG
15,10000190.XSHG,0.6654,0.5687,2015-06-30,XSHG
16,10000192.XSHG,0.8112,0.8112,2015-06-30,XSHG
17,10000055.XSHG,0.4435,0.5334,2015-06-30,XSHG
18,10000056.XSHG,0.1472,0.116,2015-06-30,XSHG
19,10000199.XSHG,0.2578,0.3502,2015-06-30,XSHG
20,10000198.XSHG,0.8422,0.8048,2015-06-30,XSHG
21,10000274.XSHG,0.2915,0.2305,2015-06-30,XSHG
22,10000275.XSHG,0.2969,0.38,2015-06-30,XSHG
23,10000276.XSHG,0.1089,0.0511,2015-06-30,XSHG
24,10000277.XSHG,0.3653,0.4562,2015-06-30,XSHG
25,10000270.XSHG,0.4328,0.5255,2015-06-30,XSHG
26,10000271.XSHG,0.3997,0.5064,2015-06-30,XSHG
27,10000272.XSHG,0.261,0.19,2015-06-30,XSHG
28,10000273.XSHG,0.291,0.2103,2015-06-30,XSHG
29,10000173.XSHG,0.1741,0.213,2015-06-30,XSHG
30,10000278.XSHG,0.1668,0.116,2015-06-30,XSHG
31,10000279.XSHG,0.4854,0.5992,2015-06-30,XSHG
32,10000174.XSHG,0.7177,0.602,2015-06-30,XSHG
33,10000048.XSHG,0.1222,0.102,2015-06-30,XSHG
34,10000047.XSHG,0.43,0.5211,2015-06-30,XSHG
35,10000280.XSHG,0.2128,0.1689,2015-06-30,XSHG
36,10000040.XSHG,0.1086,0.0826,2015-06-30,XSHG
37,10000267.XSHG,0.236,0.1705,2015-06-30,XSHG
38,10000266.XSHG,0.2094,0.1511,2015-06-30,XSHG
39,10000265.XSHG,0.1882,0.1315,2015-06-30,XSHG
40,10000264.XSHG,0.2572,0.3335,2015-06-30,XSHG
41,10000263.XSHG,0.2834,0.3606,2015-06-30,XSHG
42,10000262.XSHG,0.3072,0.379,2015-06-30,XSHG
43,10000261.XSHG,0.3417,0.4364,2015-06-30,XSHG
44,10000149.XSHG,0.2401,0.3003,2015-06-30,XSHG
45,10000142.XSHG,0.4116,0.32,2015-06-30,XSHG
46,10000269.XSHG,0.4649,0.5556,2015-06-30,XSHG
47,10000141.XSHG,0.3545,0.3008,2015-06-30,XSHG
48,10000072.XSHG,0.2202,0.151,2015-06-30,XSHG
49,10000071.XSHG,0.3416,0.4699,2015-06-30,XSHG
50,10000079.XSHG,0.314,0.4028,2015-06-30,XSHG
51,10000258.XSHG,0.1478,0.0653,2015-06-30,XSHG
52,10000259.XSHG,0.1741,0.0801,2015-06-30,XSHG
53,10000252.XSHG,0.2193,0.2958,2015-06-30,XSHG
54,10000253.XSHG,0.2891,0.2189,2015-06-30,XSHG
55,10000250.XSHG,0.5866,0.4798,2015-06-30,XSHG
56,10000251.XSHG,0.2378,0.3042,2015-06-30,XSHG
57,10000256.XSHG,0.2409,0.3,2015-06-30,XSHG
58,10000257.XSHG,0.2186,0.268,2015-06-30,XSHG
59,10000254.XSHG,0.3124,0.2452,2015-06-30,XSHG
60,10000255.XSHG,0.2677,0.336,2015-06-30,XSHG
61,10000150.XSHG,0.4693,0.346,2015-06-30,XSHG
62,10000157.XSHG,0.2146,0.2567,2015-06-30,XSHG
63,10000158.XSHG,0.5594,0.43,2015-06-30,XSHG
64,10000095.XSHG,0.3277,0.397,2015-06-30,XSHG
65,10000096.XSHG,0.2646,0.2189,2015-06-30,XSHG
66,10000064.XSHG,0.1789,0.14,2015-06-30,XSHG
67,10000063.XSHG,0.3628,0.465,2015-06-30,XSHG
68,10000249.XSHG,0.544,0.3951,2015-06-30,XSHG
69,10000248.XSHG,0.4223,0.3355,2015-06-30,XSHG
70,10000245.XSHG,0.1372,0.1729,2015-06-30,XSHG
71,10000244.XSHG,0.1533,0.1892,2015-06-30,XSHG
72,10000247.XSHG,0.3823,0.3141,2015-06-30,XSHG
73,10000246.XSHG,0.3505,0.2814,2015-06-30,XSHG
74,10000241.XSHG,0.204,0.2607,2015-06-30,XSHG
75,10000240.XSHG,0.3521,0.3045,2015-06-30,XSHG
76,10000243.XSHG,0.1742,0.226,2015-06-30,XSHG
77,10000242.XSHG,0.1896,0.2378,2015-06-30,XSHG
78,10000125.XSHG,0.2872,0.3306,2015-06-30,XSHG
79,10000126.XSHG,0.3094,0.2678,2015-06-30,XSHG
80,10000088.XSHG,0.2447,0.18,2015-06-30,XSHG
81,10000080.XSHG,0.2283,0.1649,2015-06-30,XSHG
82,10000087.XSHG,0.3001,0.415,2015-06-30,XSHG
83,10000036.XSHG,0.054,0.0401,2015-06-30,XSHG
84,10000037.XSHG,0.0593,0.0485,2015-06-30,XSHG
85,10000034.XSHG,0.5289,0.6575,2015-06-30,XSHG
86,10000035.XSHG,0.4835,0.616,2015-06-30,XSHG
87,10000032.XSHG,0.6313,0.7121,2015-06-30,XSHG
88,10000033.XSHG,0.5717,0.6451,2015-06-30,XSHG
89,10000031.XSHG,0.6609,0.7231,2015-06-30,XSHG
90,10000038.XSHG,0.0769,0.0649,2015-06-30,XSHG
91,10000039.XSHG,0.0903,0.0726,2015-06-30,XSHG
92,10000238.XSHG,0.3738,0.4645,2015-06-30,XSHG
93,10000239.XSHG,0.3237,0.2452,2015-06-30,XSHG
94,10000230.XSHG,0.3211,0.2,2015-06-30,XSHG
95,10000231.XSHG,0.2005,0.2436,2015-06-30,XSHG
96,10000232.XSHG,0.171,0.212,2015-06-30,XSHG
97,10000233.XSHG,0.1547,0.1962,2015-06-30,XSHG
98,10000234.XSHG,0.22,0.1241,2015-06-30,XSHG
99,10000235.XSHG,0.2539,0.1473,2015-06-30,XSHG
100,10000236.XSHG,0.283,0.1786,2015-06-30,XSHG
101,10000237.XSHG,0.3852,0.4623,2015-06-30,XSHG
102,10000103.XSHG,0.315,0.3713,2015-06-30,XSHG
103,10000260.XSHG,0.1975,0.1023,2015-06-30,XSHG
104,10000104.XSHG,0.2783,0.2452,2015-06-30,XSHG
105,10000229.XSHG,0.139,0.1746,2015-06-30,XSHG
106,10000228.XSHG,1.0097,0.9668,2015-06-30,XSHG
107,10000223.XSHG,0.032,0.0341,2015-06-30,XSHG
108,10000220.XSHG,0.3831,0.2629,2015-06-30,XSHG
109,10000227.XSHG,0.2309,0.3507,2015-06-30,XSHG
110,10000226.XSHG,0.9688,0.8375,2015-06-30,XSHG
111,10000225.XSHG,0.1446,0.1568,2015-06-30,XSHG
112,10000224.XSHG,0.9107,0.753,2015-06-30,XSHG
113,10000140.XSHG,0.2478,0.2941,2015-06-30,XSHG
114,10000268.XSHG,0.2621,0.1955,2015-06-30,XSHG
115,10000218.XSHG,0.1231,0.1404,2015-06-30,XSHG
116,10000219.XSHG,0.3521,0.2389,2015-06-30,XSHG
117,10000216.XSHG,0.8169,0.6652,2015-06-30,XSHG
118,10000217.XSHG,0.1249,0.1592,2015-06-30,XSHG
119,10000214.XSHG,0.6372,0.5001,2015-06-30,XSHG
120,10000215.XSHG,0.7356,0.5801,2015-06-30,XSHG
121,10000212.XSHG,0.4692,0.34,2015-06-30,XSHG
122,10000213.XSHG,0.5516,0.4117,2015-06-30,XSHG
123,10000210.XSHG,0.0514,0.056,2015-06-30,XSHG
124,10000211.XSHG,0.0415,0.0424,2015-06-30,XSHG
125,10000182.XSHG,0.7687,0.7488,2015-06-30,XSHG
126,10000183.XSHG,0.3306,0.3995,2015-06-30,XSHG
127,10000181.XSHG,0.175,0.2142,2015-06-30,XSHG
128,10000186.XSHG,0.2709,0.3619,2015-06-30,XSHG
129,10000187.XSHG,0.2734,0.35,2015-06-30,XSHG
130,10000184.XSHG,0.3037,0.3788,2015-06-30,XSHG
131,10000185.XSHG,0.2898,0.3507,2015-06-30,XSHG
132,10000188.XSHG,0.4966,0.4147,2015-06-30,XSHG
133,10000189.XSHG,0.5813,0.481,2015-06-30,XSHG
134,10000139.XSHG,0.305,0.2532,2015-07-01,XSHG
135,10000201.XSHG,0.3688,0.3688,2015-07-01,XSHG
136,10000200.XSHG,0.7945,0.8965,2015-07-01,XSHG
137,10000203.XSHG,0.4084,0.373,2015-07-01,XSHG
138,10000202.XSHG,0.4218,0.4218,2015-07-01,XSHG
139,10000205.XSHG,0.4254,0.3641,2015-07-01,XSHG
140,10000204.XSHG,0.3719,0.3719,2015-07-01,XSHG
141,10000207.XSHG,0.1065,0.0732,2015-07-01,XSHG
142,10000206.XSHG,0.3318,0.3497,2015-07-01,XSHG
