,code,open,close,date,exchange_code
0,10000200.XSHG,0.5315,0.5764,2015-05-05,XSHG
1,10000161.XSHG,0.1487,0.0902,2015-05-05,XSHG
2,10000162.XSHG,0.1385,0.184,2015-05-05,XSHG
3,10000163.XSHG,0.2119,0.1629,2015-05-05,XSHG
4,10000164.XSHG,0.1917,0.2364,2015-05-05,XSHG
5,10000165.XSHG,0.3575,0.2974,2015-05-05,XSHG
6,10000166.XSHG,0.2937,0.319,2015-05-05,XSHG
7,10000195.XSHG,0.1049,0.0706,2015-05-05,XSHG
8,10000194.XSHG,0.3344,0.4236,2015-05-05,XSHG
9,10000197.XSHG,0.227,0.2047,2015-05-05,XSHG
10,10000196.XSHG,0.3875,0.4435,2015-05-05,XSHG
11,10000191.XSHG,0.4306,0.4318,2015-05-05,XSHG
12,10000190.XSHG,0.36,0.3797,2015-05-05,XSHG
13,10000193.XSHG,0.0503,0.0279,2015-05-05,XSHG
14,10000192.XSHG,0.4712,0.513,2015-05-05,XSHG
15,10000054.XSHG,0.0141,0.0172,2015-05-05,XSHG
16,10000055.XSHG,0.7201,0.7201,2015-05-05,XSHG
17,10000056.XSHG,0.0484,0.0549,2015-05-05,XSHG
18,10000199.XSHG,0.3396,0.2974,2015-05-05,XSHG
19,10000198.XSHG,0.4582,0.5112,2015-05-05,XSHG
20,10000053.XSHG,0.7085,0.6321,2015-05-05,XSHG
21,10000179.XSHG,0.1341,0.0959,2015-05-05,XSHG
22,10000178.XSHG,0.2661,0.3364,2015-05-05,XSHG
23,10000173.XSHG,0.2893,0.2455,2015-05-05,XSHG
24,10000172.XSHG,0.2409,0.2984,2015-05-05,XSHG
25,10000171.XSHG,0.175,0.124,2015-05-05,XSHG
26,10000170.XSHG,0.1945,0.2453,2015-05-05,XSHG
27,10000177.XSHG,0.0747,0.0416,2015-05-05,XSHG
28,10000174.XSHG,0.3878,0.3869,2015-05-05,XSHG
29,10000169.XSHG,0.1076,0.0586,2015-05-05,XSHG
30,10000048.XSHG,0.0406,0.0457,2015-05-05,XSHG
31,10000047.XSHG,0.7779,0.7779,2015-05-05,XSHG
32,10000046.XSHG,0.0112,0.0134,2015-05-05,XSHG
33,10000045.XSHG,0.7483,0.6816,2015-05-05,XSHG
34,10000040.XSHG,0.0339,0.0381,2015-05-05,XSHG
35,10000148.XSHG,0.1014,0.138,2015-05-05,XSHG
36,10000149.XSHG,0.397,0.3761,2015-05-05,XSHG
37,10000146.XSHG,0.0573,0.079,2015-05-05,XSHG
38,10000147.XSHG,0.3183,0.2577,2015-05-05,XSHG
39,10000145.XSHG,0.265,0.1845,2015-05-05,XSHG
40,10000142.XSHG,0.193,0.1906,2015-05-05,XSHG
41,10000140.XSHG,0.4318,0.4318,2015-05-05,XSHG
42,10000141.XSHG,0.171,0.171,2015-05-05,XSHG
43,10000072.XSHG,0.0667,0.0759,2015-05-05,XSHG
44,10000070.XSHG,0.0222,0.0285,2015-05-05,XSHG
45,10000071.XSHG,0.6328,0.6328,2015-05-05,XSHG
46,10000077.XSHG,0.5836,0.5039,2015-05-05,XSHG
47,10000078.XSHG,0.0275,0.0347,2015-05-05,XSHG
48,10000079.XSHG,0.5946,0.5946,2015-05-05,XSHG
49,10000150.XSHG,0.196,0.2326,2015-05-05,XSHG
50,10000153.XSHG,0.2018,0.1308,2015-05-05,XSHG
51,10000155.XSHG,0.2579,0.2085,2015-05-05,XSHG
52,10000154.XSHG,0.0934,0.127,2015-05-05,XSHG
53,10000157.XSHG,0.3996,0.3427,2015-05-05,XSHG
54,10000156.XSHG,0.1369,0.176,2015-05-05,XSHG
55,10000158.XSHG,0.2503,0.2806,2015-05-05,XSHG
56,10000093.XSHG,0.4981,0.4253,2015-05-05,XSHG
57,10000094.XSHG,0.0416,0.0531,2015-05-05,XSHG
58,10000095.XSHG,0.536,0.536,2015-05-05,XSHG
59,10000096.XSHG,0.1051,0.108,2015-05-05,XSHG
60,10000064.XSHG,0.057,0.0666,2015-05-05,XSHG
61,10000061.XSHG,0.67,0.5873,2015-05-05,XSHG
62,10000063.XSHG,0.6369,0.6369,2015-05-05,XSHG
63,10000062.XSHG,0.0177,0.0212,2015-05-05,XSHG
64,10000069.XSHG,0.6169,0.5469,2015-05-05,XSHG
65,10000124.XSHG,0.0595,0.0766,2015-05-05,XSHG
66,10000125.XSHG,0.5201,0.4509,2015-05-05,XSHG
67,10000126.XSHG,0.158,0.1503,2015-05-05,XSHG
68,10000088.XSHG,0.0898,0.1093,2015-05-05,XSHG
69,10000120.XSHG,0.3888,0.2879,2015-05-05,XSHG
70,10000121.XSHG,0.018,0.0247,2015-05-05,XSHG
71,10000122.XSHG,0.025,0.0345,2015-05-05,XSHG
72,10000123.XSHG,0.3938,0.3419,2015-05-05,XSHG
73,10000080.XSHG,0.0776,0.0883,2015-05-05,XSHG
74,10000087.XSHG,0.604,0.5978,2015-05-05,XSHG
75,10000086.XSHG,0.0333,0.0431,2015-05-05,XSHG
76,10000085.XSHG,0.5385,0.4623,2015-05-05,XSHG
77,10000036.XSHG,0.0149,0.0177,2015-05-05,XSHG
78,10000037.XSHG,0.0183,0.0206,2015-05-05,XSHG
79,10000034.XSHG,0.9056,0.87,2015-05-05,XSHG
80,10000035.XSHG,0.823,0.823,2015-05-05,XSHG
81,10000032.XSHG,1.0001,0.8865,2015-05-05,XSHG
