,code,open,close,date,exchange_code
0,10000368.XSHG,0.1785,0.1598,2015-10-08,XSHG
1,10000369.XSHG,0.0413,0.0477,2015-10-08,XSHG
2,10000366.XSHG,0.23,0.2296,2015-10-08,XSHG
3,10000367.XSHG,0.2097,0.1993,2015-10-08,XSHG
4,10000365.XSHG,0.2664,0.261,2015-10-08,XSHG
5,10000201.XSHG,0.0056,0.0049,2015-10-08,XSHG
6,10000200.XSHG,1.3137,1.32,2015-10-08,XSHG
7,10000203.XSHG,0.0071,0.0066,2015-10-08,XSHG
8,10000202.XSHG,0.7706,0.7877,2015-10-08,XSHG
9,10000205.XSHG,0.0086,0.0077,2015-10-08,XSHG
10,10000204.XSHG,0.7236,0.7236,2015-10-08,XSHG
11,10000206.XSHG,0.6772,0.6772,2015-10-08,XSHG
12,10000191.XSHG,1.1183,1.1183,2015-10-08,XSHG
13,10000190.XSHG,1.0132,1.0198,2015-10-08,XSHG
14,10000192.XSHG,1.2089,1.2089,2015-10-08,XSHG
15,10000199.XSHG,0.002,0.001,2015-10-08,XSHG
16,10000428.XSHG,0.1274,0.1046,2015-10-08,XSHG
17,10000379.XSHG,0.1379,0.1405,2015-10-08,XSHG
18,10000378.XSHG,0.117,0.118,2015-10-08,XSHG
19,10000402.XSHG,0.0481,0.0518,2015-10-08,XSHG
20,10000375.XSHG,0.2449,0.255,2015-10-08,XSHG
21,10000374.XSHG,0.2744,0.2894,2015-10-08,XSHG
22,10000377.XSHG,0.0981,0.098,2015-10-08,XSHG
23,10000376.XSHG,0.2253,0.218,2015-10-08,XSHG
24,10000371.XSHG,0.0731,0.0799,2015-10-08,XSHG
25,10000370.XSHG,0.056,0.0635,2015-10-08,XSHG
26,10000373.XSHG,0.3031,0.3031,2015-10-08,XSHG
27,10000372.XSHG,0.0937,0.1022,2015-10-08,XSHG
28,10000274.XSHG,0.5374,0.5374,2015-10-08,XSHG
29,10000270.XSHG,0.0192,0.0172,2015-10-08,XSHG
30,10000271.XSHG,0.0153,0.0144,2015-10-08,XSHG
31,10000272.XSHG,0.4459,0.4558,2015-10-08,XSHG
32,10000273.XSHG,0.4907,0.5068,2015-10-08,XSHG
33,10000393.XSHG,0.3644,0.3811,2015-10-08,XSHG
34,10000279.XSHG,0.0301,0.026,2015-10-08,XSHG
35,10000289.XSHG,0.0372,0.0368,2015-10-08,XSHG
36,10000288.XSHG,0.0417,0.0402,2015-10-08,XSHG
37,10000280.XSHG,0.4023,0.41,2015-10-08,XSHG
38,10000285.XSHG,0.0382,0.0321,2015-10-08,XSHG
39,10000287.XSHG,0.0477,0.0475,2015-10-08,XSHG
40,10000286.XSHG,0.3603,0.3603,2015-10-08,XSHG
41,10000414.XSHG,0.0205,0.0207,2015-10-08,XSHG
42,10000415.XSHG,0.131,0.1129,2015-10-08,XSHG
43,10000416.XSHG,0.1002,0.0791,2015-10-08,XSHG
44,10000417.XSHG,0.0679,0.0541,2015-10-08,XSHG
45,10000410.XSHG,0.004,0.0042,2015-10-08,XSHG
46,10000411.XSHG,0.003,0.0062,2015-10-08,XSHG
47,10000412.XSHG,0.0026,0.009,2015-10-08,XSHG
48,10000413.XSHG,0.005,0.0132,2015-10-08,XSHG
49,10000418.XSHG,0.0241,0.0313,2015-10-08,XSHG
50,10000419.XSHG,0.03,0.0482,2015-10-08,XSHG
51,10000308.XSHG,0.0924,0.0845,2015-10-08,XSHG
52,10000309.XSHG,0.0804,0.0747,2015-10-08,XSHG
53,10000397.XSHG,0.0213,0.0278,2015-10-08,XSHG
54,10000303.XSHG,0.054,0.0526,2015-10-08,XSHG
55,10000304.XSHG,0.0454,0.0433,2015-10-08,XSHG
56,10000305.XSHG,0.2803,0.2909,2015-10-08,XSHG
57,10000306.XSHG,0.3192,0.3192,2015-10-08,XSHG
58,10000307.XSHG,0.1058,0.1022,2015-10-08,XSHG
59,10000395.XSHG,0.3186,0.2991,2015-10-08,XSHG
60,10000394.XSHG,0.3385,0.341,2015-10-08,XSHG
61,10000407.XSHG,0.2724,0.2426,2015-10-08,XSHG
62,10000406.XSHG,0.3251,0.2872,2015-10-08,XSHG
63,10000405.XSHG,0.3594,0.3342,2015-10-08,XSHG
64,10000404.XSHG,0.0799,0.0808,2015-10-08,XSHG
65,10000403.XSHG,0.0643,0.065,2015-10-08,XSHG
66,10000396.XSHG,0.0204,0.0209,2015-10-08,XSHG
67,10000401.XSHG,0.3336,0.336,2015-10-08,XSHG
68,10000400.XSHG,0.3722,0.3722,2015-10-08,XSHG
69,10000399.XSHG,0.4159,0.4,2015-10-08,XSHG
70,10000398.XSHG,0.0303,0.0378,2015-10-08,XSHG
71,10000409.XSHG,0.1786,0.1506,2015-10-08,XSHG
72,10000408.XSHG,0.2152,0.1931,2015-10-08,XSHG
73,10000319.XSHG,0.08,0.0625,2015-10-08,XSHG
74,10000313.XSHG,0.3724,0.3724,2015-10-08,XSHG
75,10000312.XSHG,0.3376,0.3376,2015-10-08,XSHG
76,10000311.XSHG,0.06,0.0545,2015-10-08,XSHG
77,10000310.XSHG,0.0695,0.0641,2015-10-08,XSHG
78,10000316.XSHG,0.5049,0.5065,2015-10-08,XSHG
79,10000315.XSHG,0.4558,0.4558,2015-10-08,XSHG
80,10000314.XSHG,0.4091,0.4091,2015-10-08,XSHG
81,10000380.XSHG,0.1605,0.1635,2015-10-08,XSHG
82,10000240.XSHG,0.6309,0.6423,2015-10-08,XSHG
83,10000328.XSHG,0.2727,0.269,2015-10-08,XSHG
84,10000326.XSHG,0.2079,0.22,2015-10-08,XSHG
85,10000327.XSHG,0.1375,0.1338,2015-10-08,XSHG
86,10000325.XSHG,0.0875,0.0768,2015-10-08,XSHG
87,10000322.XSHG,0.3043,0.299,2015-10-08,XSHG
88,10000320.XSHG,0.242,0.25,2015-10-08,XSHG
89,10000321.XSHG,0.1208,0.1182,2015-10-08,XSHG
90,10000331.XSHG,0.105,0.0979,2015-10-08,XSHG
91,10000239.XSHG,0.584,0.584,2015-10-08,XSHG
92,10000333.XSHG,0.1562,0.1573,2015-10-08,XSHG
93,10000332.XSHG,0.1746,0.181,2015-10-08,XSHG
94,10000334.XSHG,0.2399,0.2429,2015-10-08,XSHG
95,10000237.XSHG,0.0123,0.0111,2015-10-08,XSHG
96,10000438.XSHG,0.0394,0.0419,2015-10-08,XSHG
97,10000228.XSHG,1.4072,1.4224,2015-10-08,XSHG
98,10000432.XSHG,0.078,0.0619,2015-10-08,XSHG
99,10000433.XSHG,0.1,0.085,2015-10-08,XSHG
100,10000430.XSHG,0.0776,0.0615,2015-10-08,XSHG
101,10000431.XSHG,0.059,0.0443,2015-10-08,XSHG
102,10000436.XSHG,0.1622,0.1719,2015-10-08,XSHG
103,10000437.XSHG,0.1915,0.1613,2015-10-08,XSHG
104,10000434.XSHG,0.0999,0.1082,2015-10-08,XSHG
105,10000435.XSHG,0.1268,0.1392,2015-10-08,XSHG
106,10000344.XSHG,0.1472,0.1545,2015-10-08,XSHG
107,10000345.XSHG,0.2001,0.1973,2015-10-08,XSHG
108,10000346.XSHG,0.1772,0.1799,2015-10-08,XSHG
109,10000347.XSHG,0.1859,0.185,2015-10-08,XSHG
110,10000341.XSHG,0.15,0.1446,2015-10-08,XSHG
111,10000342.XSHG,0.1264,0.1162,2015-10-08,XSHG
112,10000343.XSHG,0.1173,0.126,2015-10-08,XSHG
113,10000348.XSHG,0.2126,0.2085,2015-10-08,XSHG
114,10000227.XSHG,0.0017,0.0018,2015-10-08,XSHG
115,10000429.XSHG,0.085,0.0827,2015-10-08,XSHG
116,10000269.XSHG,0.0244,0.0222,2015-10-08,XSHG
117,10000425.XSHG,0.016,0.0146,2015-10-08,XSHG
118,10000424.XSHG,0.1125,0.1399,2015-10-08,XSHG
119,10000427.XSHG,0.1573,0.13,2015-10-08,XSHG
120,10000426.XSHG,0.1524,0.1821,2015-10-08,XSHG
121,10000421.XSHG,0.042,0.0367,2015-10-08,XSHG
122,10000420.XSHG,0.0494,0.0715,2015-10-08,XSHG
123,10000423.XSHG,0.026,0.0241,2015-10-08,XSHG
124,10000422.XSHG,0.0879,0.1024,2015-10-08,XSHG
125,10000296.XSHG,0.7,0.7,2015-10-08,XSHG
126,10000297.XSHG,0.0219,0.0208,2015-10-08,XSHG
127,10000294.XSHG,0.6122,0.6122,2015-10-08,XSHG
128,10000295.XSHG,0.6557,0.6557,2015-10-08,XSHG
129,10000292.XSHG,0.5321,0.5321,2015-10-08,XSHG
130,10000293.XSHG,,,2015-10-08,XSHG
131,10000290.XSHG,0.0296,0.0286,2015-10-08,XSHG
132,10000291.XSHG,0.025,0.0241,2015-10-08,XSHG
133,10000298.XSHG,0.745,0.7515,2015-10-08,XSHG
134,10000238.XSHG,0.0103,0.0094,2015-10-08,XSHG
135,10000183.XSHG,0.0052,0.0042,2015-10-08,XSHG
136,10000186.XSHG,0.0035,0.0018,2015-10-08,XSHG
137,10000187.XSHG,0.0025,0.0021,2015-10-08,XSHG
138,10000184.XSHG,0.0047,0.0032,2015-10-08,XSHG
139,10000185.XSHG,0.0037,0.0031,2015-10-08,XSHG
140,10000188.XSHG,0.8227,0.822,2015-10-08,XSHG
141,10000189.XSHG,0.9148,0.9186,2015-10-08,XSHG
142,10000368.XSHG,0.1735,0.1785,2015-10-09,XSHG
143,10000369.XSHG,0.0493,0.0391,2015-10-09,XSHG
144,10000366.XSHG,0.2302,0.2412,2015-10-09,XSHG
145,10000367.XSHG,0.2033,0.2099,2015-10-09,XSHG
146,10000365.XSHG,0.2689,0.2806,2015-10-09,XSHG
147,10000201.XSHG,0.0054,0.0052,2015-10-09,XSHG
148,10000200.XSHG,1.316,1.305,2015-10-09,XSHG
149,10000203.XSHG,0.0066,0.0069,2015-10-09,XSHG
150,10000202.XSHG,0.7572,0.7572,2015-10-09,XSHG
151,10000205.XSHG,0.0079,0.0081,2015-10-09,XSHG
152,10000204.XSHG,0.721,0.7211,2015-10-09,XSHG
153,10000206.XSHG,0.6777,0.6713,2015-10-09,XSHG
154,10000191.XSHG,,,2015-10-09,XSHG
155,10000190.XSHG,,,2015-10-09,XSHG
156,10000192.XSHG,,,2015-10-09,XSHG
157,10000199.XSHG,0.0017,0.0015,2015-10-09,XSHG
158,10000428.XSHG,0.1118,0.1151,2015-10-09,XSHG
159,10000379.XSHG,0.1306,0.1278,2015-10-09,XSHG
160,10000378.XSHG,0.1114,0.0995,2015-10-09,XSHG
161,10000402.XSHG,0.0474,0.0387,2015-10-09,XSHG
162,10000375.XSHG,0.2598,0.2657,2015-10-09,XSHG
163,10000374.XSHG,0.2895,0.2895,2015-10-09,XSHG
164,10000377.XSHG,0.0934,0.0836,2015-10-09,XSHG
165,10000376.XSHG,0.2324,0.2324,2015-10-09,XSHG
166,10000371.XSHG,0.0823,0.07,2015-10-09,XSHG
167,10000370.XSHG,0.0657,0.0563,2015-10-09,XSHG
168,10000373.XSHG,0.3201,0.3034,2015-10-09,XSHG
169,10000372.XSHG,0.1035,0.09,2015-10-09,XSHG
170,10000274.XSHG,0.531,0.531,2015-10-09,XSHG
171,10000270.XSHG,0.017,0.0178,2015-10-09,XSHG
172,10000271.XSHG,0.014,0.0136,2015-10-09,XSHG
173,10000272.XSHG,0.4438,0.4339,2015-10-09,XSHG
174,10000273.XSHG,0.486,0.486,2015-10-09,XSHG
175,10000393.XSHG,0.3947,0.4083,2015-10-09,XSHG
176,10000279.XSHG,0.029,0.0281,2015-10-09,XSHG
177,10000289.XSHG,0.0395,0.0351,2015-10-09,XSHG
178,10000288.XSHG,0.0437,0.0407,2015-10-09,XSHG
179,10000280.XSHG,0.3913,0.3927,2015-10-09,XSHG
180,10000285.XSHG,0.032,0.0349,2015-10-09,XSHG
181,10000287.XSHG,0.0517,0.0495,2015-10-09,XSHG
182,10000286.XSHG,0.3618,0.3421,2015-10-09,XSHG
183,10000414.XSHG,0.0176,0.013,2015-10-09,XSHG
184,10000415.XSHG,0.1165,0.1255,2015-10-09,XSHG
185,10000416.XSHG,0.0831,0.0902,2015-10-09,XSHG
186,10000417.XSHG,0.0589,0.0613,2015-10-09,XSHG
187,10000410.XSHG,0.0027,0.0029,2015-10-09,XSHG
188,10000411.XSHG,0.005,0.0044,2015-10-09,XSHG
189,10000412.XSHG,0.0075,0.0055,2015-10-09,XSHG
190,10000413.XSHG,0.0116,0.0085,2015-10-09,XSHG
191,10000418.XSHG,0.0271,0.02,2015-10-09,XSHG
192,10000419.XSHG,0.0433,0.0344,2015-10-09,XSHG
193,10000308.XSHG,0.0934,0.09,2015-10-09,XSHG
194,10000309.XSHG,0.0823,0.079,2015-10-09,XSHG
195,10000397.XSHG,0.0283,0.0227,2015-10-09,XSHG
196,10000303.XSHG,0.0529,0.0525,2015-10-09,XSHG
197,10000304.XSHG,0.0424,0.0435,2015-10-09,XSHG
