,code,open,close,date,exchange_code
0,10000368.XSHG,0.3195,0.337,2015-11-25,XSHG
1,10000369.XSHG,0.0026,0.0019,2015-11-25,XSHG
2,10000478.XSHG,0.3988,0.3756,2015-11-25,XSHG
3,10000476.XSHG,0.2097,0.1988,2015-11-25,XSHG
4,10000477.XSHG,0.1487,0.1456,2015-11-25,XSHG
5,10000474.XSHG,0.35,0.3443,2015-11-25,XSHG
6,10000475.XSHG,0.0002,0.0002,2015-11-25,XSHG
7,10000472.XSHG,0.1618,0.148,2015-11-25,XSHG
8,10000473.XSHG,0.1575,0.1604,2015-11-25,XSHG
9,10000470.XSHG,0.3197,0.3131,2015-11-25,XSHG
10,10000471.XSHG,0.0002,0.0001,2015-11-25,XSHG
11,10000201.XSHG,0.0023,0.0023,2015-11-25,XSHG
12,10000200.XSHG,1.0853,1.0653,2015-11-25,XSHG
13,10000203.XSHG,0.0028,0.003,2015-11-25,XSHG
14,10000202.XSHG,0.542,0.527,2015-11-25,XSHG
15,10000205.XSHG,0.0034,0.004,2015-11-25,XSHG
16,10000204.XSHG,0.4931,0.4783,2015-11-25,XSHG
17,10000206.XSHG,0.4448,0.4247,2015-11-25,XSHG
18,10000191.XSHG,0.8917,0.8673,2015-11-25,XSHG
19,10000190.XSHG,0.7921,0.7671,2015-11-25,XSHG
20,10000192.XSHG,0.9914,0.9663,2015-11-25,XSHG
21,10000199.XSHG,0.0006,0.0008,2015-11-25,XSHG
22,10000428.XSHG,0.2873,0.2945,2015-11-25,XSHG
23,10000461.XSHG,0.0004,0.0001,2015-11-25,XSHG
24,10000460.XSHG,0.0997,0.0918,2015-11-25,XSHG
25,10000463.XSHG,0.204,0.2046,2015-11-25,XSHG
26,10000462.XSHG,0.06,0.0395,2015-11-25,XSHG
27,10000465.XSHG,0.256,0.2501,2015-11-25,XSHG
28,10000464.XSHG,0.1869,0.1886,2015-11-25,XSHG
29,10000467.XSHG,0.0002,0.0001,2015-11-25,XSHG
30,10000466.XSHG,0.2775,0.2804,2015-11-25,XSHG
31,10000469.XSHG,0.1759,0.172,2015-11-25,XSHG
32,10000468.XSHG,0.1093,0.0909,2015-11-25,XSHG
33,10000377.XSHG,0.0221,0.0194,2015-11-25,XSHG
34,10000376.XSHG,0.3459,0.349,2015-11-25,XSHG
35,10000371.XSHG,0.0035,0.003,2015-11-25,XSHG
36,10000370.XSHG,0.0036,0.0023,2015-11-25,XSHG
37,10000373.XSHG,0.4709,0.4875,2015-11-25,XSHG
38,10000372.XSHG,0.0054,0.0043,2015-11-25,XSHG
39,10000274.XSHG,0.3009,0.2758,2015-11-25,XSHG
40,10000270.XSHG,0.0134,0.0161,2015-11-25,XSHG
41,10000271.XSHG,0.0092,0.011,2015-11-25,XSHG
42,10000272.XSHG,0.2098,0.189,2015-11-25,XSHG
43,10000273.XSHG,0.2559,0.232,2015-11-25,XSHG
44,10000365.XSHG,0.4702,0.4856,2015-11-25,XSHG
45,10000279.XSHG,0.0289,0.0329,2015-11-25,XSHG
46,10000289.XSHG,0.0578,0.0632,2015-11-25,XSHG
47,10000288.XSHG,0.0666,0.0717,2015-11-25,XSHG
48,10000280.XSHG,0.1634,0.1501,2015-11-25,XSHG
49,10000285.XSHG,0.0415,0.0471,2015-11-25,XSHG
50,10000287.XSHG,0.0755,0.0834,2015-11-25,XSHG
51,10000286.XSHG,0.1269,0.1135,2015-11-25,XSHG
52,10000380.XSHG,0.0471,0.0415,2015-11-25,XSHG
53,10000294.XSHG,0.4038,0.4019,2015-11-25,XSHG
54,10000308.XSHG,0.1345,0.149,2015-11-25,XSHG
55,10000309.XSHG,0.1182,0.1308,2015-11-25,XSHG
